Date	Settlement	Size	Points
-4000	Jiangzhai, Jiahu	300	0
-3500	Xipo	2000	0.02
-3000	Dadiwan	5000	0.05
-2500	Taosi, Liangchengzhen, Yaowangcheng	10000	0.09
-2250	Taosi, Liangchengzhen, Yaowangcheng	14000	0.13
-2000	Fengcheng-Nanshui	11000	0.1
-1750	Erlitou	24000	0.22
-1500	Zhengzhou	35000	0.33
-1400	Zhengzhou	35000	0.33
-1300	Zhengzhou	35000	0.33
-1200	Anyang	50000	0.47
-1100	Anyang	50000	0.47
-1000	Luoyi, Feng	35000	0.33
-900	Luoyi, Feng	40000	0.37
-800	Luoyi, Feng	45000	0.42
-700	Linzi, Luoyi	55000	0.51
-600	Linzi, Luoyi	65000	0.61
-500	Linzi	80000	0.75
-400	Linzi, Qufu, Luoyi, Xinzheng, Wuyang	100000	0.94
-300	Linzi, Qufu, Luoyi, Xinzheng, Wuyang	125000	1.17
-200	Chang'an	250000	2.81
-100	Chang'an	375000	3.75
1	Chang'an	500000	4.68
100	Luoyang	420000	3.93
200	Chang'an	120000	1.12
300	Pingyang, Chang'an, Luoyang, Xuchang, Ye	140000	1.31
400	Pingcheng	200000	1.87
500	Luoyang	200000	1.87
600	Daxingcheng/Chang'an	600000	5.63
700	Chang'an	1000000	9.36
800	Chang'an	1000000	9.36
900	Chang'an	750000	7
1000	Kaifeng	1000000	9.36
1100	Kaifeng	1000000	9.36
1200	Hangzhou	1000000	9.36
1300	Hangzhou	800000	7.5
1400	Nanjing	500000	4.68
1500	Being	678000	6.35
1600	Beijing	700000	6.55
1700	Beiying	650000	6.09
1800	Beiying	1100000	10.3
1900	Tokyo	1750000	16.39
2000	Tokyo	26400000	250
